vertices	100
Edges	Count
0	14262	2149763
1	2437	352117
2	6556	1336366
3	6518	1351735
4	5390	899951
5	12440	2149924
6	9526	2034461
7	5940	1267274
8	5297	927156
9	1300	118698
10	15682	2139423
11	5407	941087
12	16808	2170609
13	9681	2159425
14	12380	2191126
15	11091	2191279
16	13125	2170602
17	689	43707
18	10047	1974137
19	4046	695081
20	8488	1744567
21	158	16978
22	7789	1600223
23	5152	867745
24	18836	2139419
25	7502	1459193
26	5422	1101616
27	10503	2129242
28	14723	2118897
29	9636	2117524
30	3682	452908
31	14495	2160265
32	740	37515
33	1361	102181
34	9243	1995597
35	15975	2129075
36	14581	2160255
37	18512	1984464
38	18464	2077533
39	6575	1472703
40	19305	2056690
41	9343	2073763
42	11643	2118735
43	1640	105060
44	4346	649585
45	1119	68194
46	2606	339369
47	13663	2149763
48	18775	1973960
49	5004	897555
50	12525	2149764
51	850	75041
52	5122	774335
53	14114	2149910
54	9108	1993445
55	16017	2263673
56	1671	160117
57	7820	1539653
58	15305	2191129
59	8192	1673049
60	17419	1922438
61	9252	1955216
62	15499	2211803
63	9420	2115127
64	5315	821143
65	2322	272359
66	16899	2056690
67	10761	2067031
68	18640	2129084
69	16678	2325554
70	7640	1421241
71	18722	2160267
72	14179	2232487
73	4907	779752
74	11462	1974134
75	270	26398
76	9693	2242844
77	12706	2056870
78	14168	1984308
79	4979	862173
80	17686	1994643
81	7129	1524577
82	17467	2056858
83	1402	113607
84	9478	2166715
85	7619	1597229
86	8556	1880794
87	15735	2170605
88	10040	2056694
89	5103	1035069
90	18750	2129080
91	12740	2036009
92	6901	1673733
93	18777	2056861
94	19162	2005159
95	17955	2056859
96	16313	2201622
97	11311	2201473
98	10248	2160266
99	3038	427473
100	15133	2015503
101	6178	1150788
102	4916	727606
103	9263	2071969
104	9994	2149921
105	9597	1734077
106	15067	2077538
107	4363	513989
108	2573	180136
109	12895	2160253
110	19576	2160104
111	11211	2025830
112	16226	1994824
113	14055	2098052
114	8924	1869825
115	6930	1408428
116	2054	214603
117	8476	1712324
118	4745	832032
119	4182	723208
120	14496	2180946
121	12148	2232497
122	8728	1734428
123	4341	650342
124	18058	2222149
125	5594	1049152
126	5962	1262692
127	406	23606
128	18324	2036178
129	7892	1818155
130	12271	2232499
131	2814	395343
132	7071	1529944
133	17661	2253169
134	7386	1473247
135	7255	1627872
136	17694	2129240
137	971	95694
138	4046	757059
139	6440	1218133
140	18236	2160128
141	10221	2077378
142	15727	1901753
143	19426	2201622
144	2170	325791
145	5073	910586
146	1593	120603
147	11984	2139416
148	19054	2005157
149	4160	531000
150	17151	2201618
151	3305	338251
152	674	47012
153	17442	1922425
154	14817	2015325
155	4241	828658
156	5348	1084351
157	14031	2098216
158	1742	195343
159	1945	189552
160	5401	776174
161	1665	131166
162	1797	148785
163	13625	2201472
164	12601	2056866
165	9828	2201462
166	18777	2160102
167	10475	2191129
168	17983	2191280
169	7563	1534592
170	4963	795134
171	4895	734863
172	15545	2098220
173	4302	667870
174	15308	2067192
175	10507	2087884
176	16464	2170443
177	15520	2242995
178	4373	847605
179	5945	1186152
180	4479	715190
181	8034	1578649
182	16164	2170596
183	7634	1758941
184	14566	2108395
185	5556	1117134
186	13695	2201465
187	578	30170
188	7726	1565821
189	10176	1912098
190	7721	1729464
191	12716	2191123
192	8625	1820901
193	1028	98050
194	1908	210936
195	13333	1994817
196	8635	1928832
197	6066	1131355
198	1633	156956
199	18487	2015489
200	380	44004
201	831	65158
202	3960	710865
203	15555	2129079
204	16148	2201625
205	8523	1788055
206	580	35156
207	16744	2087883
208	12735	2139581
209	18896	2129080
210	5353	1010845
211	5301	1053463
212	14288	2067193
213	7433	1732265
214	17144	2108392
215	8213	1812989
216	12101	2004985
217	4770	814005
218	17564	1943113
219	2696	289448
220	7366	1573703
221	5340	896287
222	15407	2149923
223	10895	2046521
224	782	71569
225	5184	971456
226	11818	1870545
227	7187	1397231
228	6968	1410929
229	10330	2139427
230	19323	1953275
231	786	69901
232	19196	2284201
233	9923	2191126
234	1030	97215
235	13735	2046519
236	12727	2129239
237	13033	2180791
238	4244	678696
239	16963	2211959
240	16010	1881073
241	18067	2087879
242	377	15292
243	6137	1198157
244	5796	1268956
245	129	11109
246	13480	2056860
247	9543	1877583
248	4545	710371
249	16511	2015494
250	4948	961020
