vertices	100
Edges	Count
251	2496	307127
252	10005	2211806
253	3762	712395
254	202	15966
255	5762	1071804
256	6933	1377781
257	17604	2087875
258	14719	2242994
259	12347	1953453
260	9756	2139026
261	18984	2211968
262	15237	2046343
263	16753	2201623
264	18893	2160095
265	5464	1041226
266	18001	1953457
267	18637	2129238
268	19535	1891229
269	9162	2130191
270	264	23090
271	8460	1879925
272	4725	773653
273	12940	2149923
274	1011	85992
275	19201	2067197
276	2888	455584
277	1640	189226
278	15510	2139421
279	18916	2191286
280	17204	1994820
281	885	63842
282	5486	961605
283	19198	2180787
284	9253	2172885
285	11219	2036173
286	6686	1431057
287	3500	516448
288	12888	2108397
289	4831	903236
290	6430	1301810
291	4868	865049
292	10704	2025829
293	6824	1566574
294	6398	1185977
295	16829	2077532
296	678	34122
297	11076	2108398
298	13776	1943112
299	8754	1898870
300	1538	116653
301	18111	2004985
302	13288	2211805
303	3167	510010
304	440	32936
305	19289	2056864
306	17327	2015492
307	15656	2170597
308	3875	533290
309	18229	1974140
310	18156	2180931
311	5571	1163683
312	18164	2077377
313	15560	2129239
314	15632	2170443
315	19055	2098212
316	15467	2191283
317	10816	2077547
318	13939	2046511
319	12754	2077376
320	1630	196926
321	6988	1587892
322	13370	2129087
323	1115	96577
324	1856	197107
325	6829	1356695
326	4036	682100
327	7058	1339924
328	15487	1808501
329	6645	1221830
330	11085	2108558
331	8522	1875644
332	2252	200972
333	5268	1006526
334	10551	2129237
335	12839	2129074
336	1417	88762
337	10849	1963805
338	5610	1073802
339	9648	1837208
340	8387	1675118
341	430	25383
342	11724	2273855
343	4520	668119
344	15981	1922432
345	12294	2160267
346	8619	1526348
347	1104	83003
348	10700	2201464
349	15172	1922258
350	13683	1984305
351	6373	1284357
352	8854	1872359
353	13078	2201616
354	16300	2077538
355	8841	1971150
356	9484	1952201
357	8236	1622155
358	14807	2015494
359	12381	2098220
360	5522	904727
361	7729	1564338
362	8474	1678594
363	6307	1295848
364	11987	1974131
365	1687	164995
366	15035	2211967
367	5222	1143948
368	4799	887134
369	5201	899763
370	6795	1287495
371	13719	2149768
372	12531	2325557
373	2085	237937
374	19419	2191127
375	4819	885579
376	4805	896914
377	2099	133085
378	4787	982565
379	2020	296452
380	19271	2180943
381	18995	2191123
382	12001	2004985
383	742	29944
384	9167	1984013
385	8707	1449137
386	3366	383469
387	4716	838030
388	10173	2015498
389	3445	522950
390	6486	1322617
391	3737	526134
392	3158	352696
393	2722	280863
394	5001	797858
395	9390	1877337
396	1707	133384
397	624	53621
398	17193	2232489
399	12730	2098054
400	10488	2118897
401	370	20372
402	283	14574
403	17467	2108556
404	10745	2149915
405	10288	1943114
406	6202	985133
407	8973	2076352
408	15684	2067032
409	1612	180833
410	10087	2015505
411	6431	1266967
412	10972	2108393
413	945	52040
414	4602	792542
415	830	50266
416	13908	2025668
417	17487	2025833
418	5463	848633
419	13805	2211975
420	12863	1994808
421	7829	1742252
422	13780	2098054
423	2704	356520
424	16542	2067197
425	9229	1792006
426	16611	2139572
427	8988	2172643
428	15103	2222151
429	14450	1881075
430	19094	2077532
431	15774	2170445
432	17456	2149759
433	10462	2222143
434	11679	2118744
435	6690	1411383
436	5996	1278557
437	14613	2139568
438	14308	2273856
439	10762	2274010
440	7198	1571889
441	8465	1781665
442	3620	612141
443	12047	1973959
444	6384	1323022
445	1510	159997
446	15298	2201624
447	19477	2036005
448	883	54718
449	10587	2077375
450	9043	2145571
451	19133	2211810
452	7004	1672718
453	17862	2118734
454	5650	1139378
455	12552	2087881
456	1732	194440
457	628	43405
458	3633	478006
459	4835	793916
460	10685	2108396
461	14857	2015495
462	16507	2046520
463	18131	1808692
464	16592	1943113
465	5817	1059923
466	14854	2242987
467	13989	2067196
468	11937	1984306
469	8526	1902870
470	11879	2170441
471	1623	83230
472	2421	256364
473	5157	948170
474	4288	604294
475	7173	1502815
476	5437	1095462
477	1520	149969
478	13632	2129240
479	18135	2160264
480	12340	2015324
481	16065	2263664
482	3527	457900
483	17265	2077370
484	17495	2222150
485	12104	2036169
486	9308	1990104
487	3702	639679
488	3312	527048
489	722	50367
490	8111	1571687
491	16195	2232492
492	11401	1953448
493	3371	455673
494	15264	2201614
495	11636	2087720
496	6734	1228600
497	4094	671993
498	15899	2077532
499	13511	1994641
500	15137	2222153
501	4000	485068
502	632	48527
503	14608	2118897
504	7403	1324916
505	12913	2201626
506	13285	2087878
507	6992	1407820
508	5215	908140
509	259	19880
510	12834	2170438
511	11196	2056861
512	2778	330928
513	13193	1932775
514	9050	1725598
515	16493	2160105
516	19032	2139420
517	6855	1316849
518	18893	2160266
519	1697	137263
520	1827	112950
521	5539	1063528
522	15673	2211961
523	6032	1235934
524	13914	2160263
525	9587	2002717
526	8237	1738098
527	18184	2129236
528	16975	2170604
529	8662	1781370
530	10784	2015322
531	12831	2025662
532	18434	2201467
533	7720	1651803
534	12715	2118735
535	13214	2077375
536	2837	347178
537	14818	2098228
538	2238	183980
539	18036	2025834
540	7136	1604467
541	11764	2077539
542	2220	214453
543	12325	1922430
544	5712	853683
545	10570	2087872
546	11656	2077375
547	10536	2180783
548	9932	2170596
549	363	18940
550	10272	2211963
551	17174	2149919
552	13596	2149768
553	16353	2118898
554	1391	69147
555	18112	2191121
556	13517	2108394
557	4702	752106
558	11099	2149925
559	17047	2046345
560	16233	2242832
561	15821	2025669
562	2866	378440
563	9342	2000004
564	4809	881757
565	2930	486384
566	9662	2118768
567	12008	2273851
568	1625	154016
569	2294	273154
570	8909	1733397
571	5776	1195250
572	16467	2098214
573	8784	1801375
574	3403	404163
575	13245	1994809
576	17995	2087711
577	5964	1151539
578	10944	2160098
579	12957	2067203
580	3053	284549
581	16095	2046521
582	15640	2015496
583	9332	2060114
584	10549	2160104
585	6890	1483031
586	3134	543060
587	10459	1994814
588	11936	2180934
589	7346	1399303
590	11233	2067031
591	9551	2260055
592	1984	185200
593	3253	461837
594	8952	2142788
595	17185	2180790
596	10669	2211965
597	14062	2036174
598	19475	1953455
599	6583	1257845
600	8184	1835769
601	13310	2025670
602	16775	2222147
603	14223	2067197
604	5149	743934
605	17305	2170605
606	17970	2118897
607	3574	422400
608	1607	120957
609	3771	465522
610	6108	1291162
611	4307	544198
612	2777	388919
613	6499	1327541
614	15813	1984303
615	18057	2077540
616	17208	1891231
617	14355	2056847
618	5381	1143290
619	2666	280471
620	17160	2067032
621	8082	1693674
622	7833	1585719
623	19437	2139577
624	3785	602029
625	18225	2160103
626	12693	2149763
627	12321	1912098
628	15325	2067032
629	851	68312
630	7487	1523101
631	4371	792136
632	6794	1484915
633	8010	1830228
634	10017	2025827
635	17220	1943106
636	18452	1963797
637	11329	2149918
638	12901	2232492
639	381	17918
640	18837	2222153
641	5200	1086092
642	18732	2108394
643	15745	1953447
644	11062	2046346
645	11699	2222147
646	10949	2180937
647	17886	2108392
648	19538	2160105
649	5575	853319
650	18267	2139579
651	9373	1937398
652	6462	1197947
653	7912	1823523
654	1212	80089
655	5260	1161056
656	12635	2098218
657	11279	2180943
658	9661	2046149
659	16970	2180786
660	1239	109090
661	10683	2015328
662	13730	2149764
663	3897	595644
664	4560	887558
665	3923	519684
666	12182	2139578
667	13615	2067196
668	2415	352851
669	7443	1653247
670	9392	2061347
671	8972	1904232
672	17276	2015494
673	18162	2108559
674	17022	2211960
675	19583	2170439
676	9242	2162123
677	16847	2015492
678	8613	1841935
679	6779	1484121
680	4198	756454
681	7209	1517784
682	465	51019
683	12009	1963792
684	1624	139961
685	10429	2005158
686	17446	2015333
687	17179	2036180
688	13567	2067032
689	12487	2253169
690	6475	1134913
691	3037	366314
692	12043	2211813
693	7956	1743746
694	19003	2108395
695	7204	1573935
696	12605	2087718
697	11743	2139575
698	13614	2005155
699	19512	2015509
700	15517	2077538
701	16773	2067196
702	8112	1754907
703	14710	2118896
704	2085	261465
705	6162	1155324
706	1556	98079
707	19560	2129230
708	10059	2170441
709	9190	2057159
710	7026	1645907
711	19008	2046347
712	14367	2211810
713	17808	2118895
714	8378	1538846
715	8932	1886017
716	10666	2098052
717	19466	2036004
718	368	25400
719	13932	2253177
720	18159	2170605
721	1208	104763
722	8166	1816088
723	5559	982708
724	10546	2067032
725	13645	1953456
726	11245	2077535
727	14668	2149923
728	2994	299628
729	5875	1076298
730	18324	2139574
731	3015	441048
732	14561	2304882
733	5444	850441
734	14661	2129074
735	13902	2077541
736	2951	253547
737	16401	2046521
738	18594	2129236
739	16364	1974143
740	18455	2046523
741	8297	1807394
742	6808	1235073
743	1682	209505
744	2225	265869
745	10046	2056864
746	5188	843238
747	7410	1634097
748	7510	1868691
749	12567	2191122
750	5823	883260
751	5950	993856
752	5244	933407
753	777	63047
754	4741	763026
755	924	105183
756	2446	320214
757	18861	2005144
758	18734	2191121
759	14006	2149755
760	11361	2129242
761	12087	2211815
762	6263	1195019
763	11371	2139425
764	11356	2056693
765	17297	2253171
766	6442	1229701
767	10234	2087716
768	13589	2346411
769	11378	1953280
770	7803	1610702
771	519	31805
772	10876	2108554
773	13084	2129076
774	8031	1609989
775	2966	406646
776	5512	1056239
777	3154	380079
778	2963	434942
779	4665	565647
780	16701	2056856
781	7050	1445102
782	3774	474880
783	15220	2211958
784	16412	2056694
785	7810	1757862
786	17934	2232489
787	18501	2304877
788	14916	2160268
789	13353	2098221
790	16739	2087713
791	15688	1953457
792	16612	2170605
793	10958	2108560
794	10223	2211960
795	1688	115525
796	2571	347744
797	4913	833581
798	2968	408685
799	16578	2284193
800	9049	1867999
801	5586	1259690
802	16165	2191282
803	15331	2294533
804	2690	346079
805	17543	2253176
806	17142	2180783
807	16563	2118735
808	19571	1850049
809	7388	1571306
810	2496	253589
811	920	99415
812	8853	2199279
813	17851	1922256
814	19530	2067029
815	5942	1295366
816	1585	146818
817	8357	1871275
818	18030	2004986
819	10038	1974136
820	16581	2201469
821	9722	2056292
822	1430	114898
823	4319	732469
824	7889	1773734
825	11657	1953278
826	7023	1334557
827	13857	2036186
828	9703	2004451
829	15675	2056688
830	14762	2222147
831	16581	2149760
832	4533	676095
833	18719	1881070
834	17636	1973965
835	10079	2201616
836	4466	739496
837	9398	2011278
838	9184	2204412
839	5309	913125
840	19176	2160098
841	17750	2149919
842	14498	2056688
843	16625	2170594
844	16107	2242828
845	10703	2056856
846	8735	2019128
847	12791	2294537
848	7061	1495899
849	16385	2273864
850	15124	2139419
851	11351	2201471
852	8553	1826241
853	13045	2180941
854	16352	2129235
855	11457	2180954
856	6268	1355447
857	3195	546185
858	10399	2015326
859	3646	402734
860	7811	1863276
861	12708	2191287
862	15228	2273855
863	9565	1847979
864	14811	2087886
865	10152	2211805
866	10437	2087707
867	15630	1912106
868	14182	2180787
869	9207	1729637
870	7524	1654310
871	16912	2056694
872	7600	1795554
873	6925	1658526
874	9698	1951309
875	7363	1508010
876	6086	1237941
877	293	25931
878	17295	2015326
879	13434	1880895
880	4565	751717
881	2488	317948
882	14017	2015502
883	12407	2067193
884	702	23353
885	9749	1952923
886	623	27686
887	16211	2118896
888	8498	1813936
889	11128	1994817
890	875	80081
891	16433	2077533
892	11709	2180945
893	4877	956639
894	9391	2239857
895	8317	1733557
896	15500	2160267
897	18483	2005155
898	18026	2118898
899	12431	2118901
900	571	18385
901	8064	1435250
902	1943	146901
903	7242	1580421
904	993	101757
905	7408	1502542
906	3794	557835
907	5503	965427
908	15184	2056699
909	9951	2201628
910	3018	397740
911	17471	2139575
912	3618	585605
913	19198	2118899
914	14712	2087877
915	10558	1984484
916	16659	2129078
917	560	44452
918	4338	787060
919	3159	340372
920	2842	363443
921	4779	789135
922	12391	2046512
923	8565	1715820
924	11972	1932598
925	10721	2149915
926	9987	2180784
927	1838	129606
928	14274	2222151
929	10627	2005157
930	10140	2067198
931	12101	2149924
932	5762	1054165
933	8801	1748303
934	17148	2077367
935	7813	1598900
936	11405	2139577
937	12219	2139576
938	7540	1776970
939	18047	2098053
940	13823	2242852
941	4023	482819
942	5717	1089645
943	18062	2036174
944	18165	2098210
945	14881	2149929
946	3450	439851
947	6624	1380665
948	19535	2201625
949	18399	2170607
950	7528	1624881
951	15225	2180940
952	5211	919630
953	9093	1927538
954	4673	723144
955	8507	1793318
956	9899	2149915
957	7193	1627433
958	1918	199332
959	3321	446341
960	4393	677377
961	3338	546596
962	15287	2191274
963	10350	2170601
964	11124	2242832
965	7761	1433461
966	3671	427159
967	17822	2149754
968	4774	802687
969	17791	2160261
970	16532	1963616
971	12571	2170604
972	6777	1280558
973	8735	1581087
974	13238	1984302
975	18691	1994649
976	12040	2160102
977	15157	2170599
978	1248	118032
979	10821	2139577
980	2596	287098
981	1099	67376
982	14391	2108553
983	9601	2045966
984	6062	1201636
985	3233	392694
986	19022	2005156
987	14560	2149920
988	7703	1738786
989	6373	1396259
990	7596	1566604
991	16508	2005157
992	9755	2201494
993	15563	2180787
994	2385	357127
995	11353	2201613
996	16473	2129078
997	11685	2025835
998	8657	1496365
999	12721	1953454
